year,month,day,hour,o3ddv,gs,prec,rh,VPD,wetness
1997,4,29,0,0.00819195147118602,NaN,1.27,90.6,0.0714755771736488,0.256
1997,4,29,1,0.0126127084334042,NaN,1.778,93.1,0.0478699724334396,1.006
1997,4,29,2,0.0224919918462434,NaN,1.016,95.5,0.0301715793846431,1.006
1997,4,29,3,0.0042038983235754,NaN,0.254,95.45,0.0307099162195665,1.006
1997,4,29,4,-0.00514189883689478,NaN,1.778,95.6,0.0293852953948829,1.006
1997,4,29,5,0.000850217620959223,NaN,0,95.5,0.0286715439126712,1.006
1997,4,29,6,0.311324250334246,NaN,4.318,91.25,0.0665245912139266,1.006
1997,4,29,7,0.639481910423286,0.134971225257931,0,79.95,0.184375754137606,1.005
1997,4,29,8,NaN,NaN,0.762,66.28,0.376354449022264,0.4295
1997,4,29,9,NaN,NaN,0.254,51.725,0.598050552677611,0.004
1997,4,29,10,NaN,NaN,2.794,44.515,0.754658373253509,0.004
1997,4,29,11,0.219334290408039,NaN,0.254,41.225,0.863712733414169,0.004
1997,4,29,12,0.0240150380536113,NaN,0,38.92,0.951743500088325,0.004
1997,4,29,13,0.13910518444666,0.428823714479278,0,34,1.11088595597232,0.004
1997,4,29,14,0.174022100114727,NaN,0,31.21,1.23089037936575,0.004
1997,4,29,15,0.0781304429456536,0.152754966993042,0,30.24,1.32280918092733,0.004
1997,4,29,16,NaN,NaN,0,29.31,1.34778754602612,0.004
1997,4,29,17,NaN,NaN,0,31.135,1.30127679700351,0.004
1997,4,29,18,NaN,NaN,0,31.6,1.25543779576246,0.004
1997,4,29,19,0.0527430403892406,-0.00488262916424002,0,37.73,1.02066035496249,0.004
1997,4,29,20,0.0701419032810234,0.0173199447776501,0,50.255,0.694336147658368,0.004
1997,4,29,21,0.00115707038766366,NaN,0,51.085,0.636958165088233,0.004
1997,4,29,22,-0.000237007392509648,NaN,0,51.025,0.588408796661741,0.004
1997,4,29,23,-0.00332553149881268,NaN,0,52.24,0.539513996538306,0.004
1997,4,30,0,0.00330453055270721,NaN,0,53.635,0.490845723388377,0.005
1997,4,30,1,-0.0027779215737026,NaN,0,61.035,0.408336281978931,0.005
1997,4,30,2,0.0172122776492052,NaN,0,62.02,0.37818563364531,0.005
1997,4,30,3,-0.0283813484243071,NaN,0,59.345,0.413522701358142,0.005
1997,4,30,4,0.017743002350064,NaN,0,61.275,0.376387315689195,0.005
1997,4,30,5,-0.0082170784213224,NaN,0,59.435,0.402591721122884,0.005
1997,4,30,6,NaN,NaN,0,54.345,0.52221074438333,0.0045
1997,4,30,7,NaN,NaN,0,50.93,0.642376735563319,0.004
1997,4,30,8,0.442849805145357,0.237600545050546,0,45.53,0.812511468126531,0.004
1997,4,30,9,0.712280994493576,0.264777100531526,0,38.64,1.05125057565315,0.004
1997,4,30,10,0.344124459843501,0.310273824115502,0,32.99,1.25806967469118,0.004
1997,4,30,11,0.441122580645161,0.276520072594958,0,29.72,1.41411808312701,0.004
1997,4,30,12,0.181755314329208,0.157599083625619,0,26.145,1.57659758108408,0.004
1997,4,30,13,0.288742704792619,0.0985132831000074,0,22.25,1.74764854537297,0.004
1997,4,30,14,0.243834947187399,0.15740108053083,0,21.585,1.83418497487119,0.004
1997,4,30,15,0.329167713871435,0.150439950399522,0,22.77,1.8438223807293,0.004
1997,4,30,16,NaN,NaN,0,23.685,1.81071555454484,0.004
1997,4,30,17,0.0971494102806129,0.0472736438621083,0,24.86,1.75385488747935,0.004
1997,4,30,18,0.0568906550626652,0.0175452737387188,0,26.67,1.65634778879329,0.004
1997,4,30,19,0.129919560880045,0.0299287769892705,0,28.08,1.52705617582941,0.004
1997,4,30,20,0.402536217659299,-0.0112470087329583,0,32.81,1.34200118222343,0.004
1997,4,30,21,0.142687183885083,-0.0288293123711377,0,47.09,1.01846499643938,0.004
1997,4,30,22,0.10872651310351,-0.0281301694312768,0,57.17,0.799471910895382,0.004
1997,4,30,23,0.039043292315966,-0.0278783202592502,0,62.43,0.696016962336638,0.004
1997,5,1,0,0.152862685885844,0.0199394370326798,0,63.255,0.691948822129894,0.004
1997,5,1,1,0.133720752991388,0.0442405503675451,0,62.55,0.716253609493995,0.004
1997,5,1,2,0.181044902059267,0.0552326906891414,0,58.805,0.821459794889973,0.004
1997,5,1,3,0.105109426195077,0.0427937477984608,0,57.18,0.866760001998393,0.004
1997,5,1,4,0.085749994494241,0.0235127584864194,0,58.66,0.810362756390384,0.004
1997,5,1,5,0.259775599372619,0.00897291013855444,0,61.385,0.734291682722169,0.004
1997,5,1,6,0.207807813283494,0.0453925721056981,0,64.36,0.6870076531821,0.004
1997,5,1,7,0.188327402135231,0.124811259234696,0,66.56,0.618809176284529,0.004
1997,5,1,8,0.316209133367929,0.309877584097251,0,58.295,0.778963774304797,0.004
1997,5,1,9,NaN,NaN,0,57.395,0.800607504007638,0.004
1997,5,1,10,NaN,NaN,0,49.525,0.957393097312285,0.004
1997,5,1,11,NaN,NaN,0,41.81,1.03972115339949,0.004
1997,5,1,12,0.31549105507818,-0.0606826303328019,0,59.83,0.531100856288468,0.004
1997,5,1,13,0.191861748273588,0.15009634196599,0,66.15,0.368198935449466,0.004
1997,5,1,14,-0.332736880854023,0.218731383256356,0,74.22,0.248527879632518,0.34
1997,5,1,15,-0.321494697555869,NaN,0.762,88.65,0.0959989119643767,1.004
1997,5,1,16,-0.106696867794005,NaN,2.794,90.1,0.0793914459241767,1.004
1997,5,1,17,-0.189242799333492,NaN,1.016,91.5,0.0661959379736,1.004
1997,5,1,18,0.241266836971667,NaN,3.556,93.35,0.0516285460485521,1.004
1997,5,1,19,0.298113831899404,NaN,0.254,92.05,0.062528335059658,1.004
1997,5,1,20,0.175794734371332,NaN,0.254,89.1,0.0851654364743471,1.004
1997,5,1,21,0.20768068833652,0.265675083812809,0,84.5,0.119364608347696,0.284
1997,5,1,22,0.192278101875416,NaN,0.254,81.55,0.13831521631592,0.004
1997,5,1,23,0.200367715981878,0.13581070835938,0,77.65,0.161233963216786,0.004
1997,5,2,0,0.165693797320909,0.0545675095337044,0,76.9,0.158536519094485,0.004
1997,5,2,1,0.162562910938434,NaN,0.254,78,0.148514126730861,0.004
1997,5,2,2,0.0619039513677812,0.00820696326134905,0,80.95,0.121936114046289,0.004
1997,5,2,3,0.0458067061143984,-0.00600259172561116,0,83.9,0.101380419223555,0.005
1997,5,2,4,0.172857356235997,-0.00821385671500509,0,88.2,0.0728005022782889,0.005
1997,5,2,5,0.139393012552301,0.00658958293766103,0,87.9,0.0746525839263948,0.0045
1997,5,2,6,0.499623621025308,0.138770847427589,0,77.75,0.157259171868645,0.004
1997,5,2,7,0.352372634643377,0.449818799024865,0,69.975,0.240140048673844,0.004
1997,5,2,8,0.266822977725674,0.655707225502728,0,56.735,0.407778863620834,0.004
