year,month,day,hour,o3ddv,gs,prec,rh,VPD,wetness
1998,5,12,0,0.0119510251447453,NaN,NaN,NaN,NaN,NaN
1998,5,12,1,0.0126706463252648,NaN,NaN,NaN,NaN,NaN
1998,5,12,2,0.0168351128599513,NaN,NaN,NaN,NaN,NaN
1998,5,12,3,0.0174079787652868,NaN,NaN,NaN,NaN,NaN
1998,5,12,4,0.0127584060358221,NaN,NaN,NaN,NaN,NaN
1998,5,12,5,0.00862737275848277,NaN,NaN,NaN,NaN,NaN
1998,5,12,6,0.040494591057865,NaN,NaN,NaN,NaN,NaN
1998,5,12,7,0.0579664509984235,NaN,NaN,NaN,NaN,NaN
1998,5,12,8,NaN,NaN,NaN,NaN,NaN,NaN
1998,5,12,9,NaN,NaN,NaN,NaN,NaN,NaN
1998,5,12,10,NaN,NaN,0,29.965,1.35768742593701,0.004
1998,5,12,11,NaN,NaN,0,30.12,1.42555307114102,0.004
1998,5,12,12,NaN,NaN,0,28.035,1.5450685277214,0.004
1998,5,12,13,NaN,NaN,0,26.275,0.860617847581103,0.004
1998,5,12,14,NaN,NaN,0,27.64,0.447276096601979,0.004
1998,5,12,15,NaN,NaN,0,28.73,1.33644706871962,NaN
1998,5,12,16,NaN,NaN,0,30.955,1.88741495692471,0.005
1998,5,12,17,0.0147752530483106,NaN,0,33.365,1.92382750998153,0.005
1998,5,12,18,0.0051485988810051,0.0570590008132049,0,37.05,2.10513419241919,0.005
1998,5,12,19,0.00948254191116285,0.0320069927198045,0,40.11,1.82220505374304,0.005
1998,5,12,20,0.0135040560456839,NaN,0,45.335,1.52551060540603,0.005
1998,5,12,21,0.00700805528641201,NaN,0,51.725,1.24109898843871,0.005
1998,5,12,22,0.0145501854549967,NaN,0,55.135,1.05834019794391,0.005
1998,5,12,23,-0.000732525357672447,NaN,0,55.94,0.957172136580558,0.006
1998,5,13,0,-0.0166327502279914,NaN,0,58.3,0.83310260595327,0.006
1998,5,13,1,-0.0267816208503688,NaN,0,60.595,0.718683008674265,0.006
1998,5,13,2,-9.03572280596214e-05,NaN,0,64.43,0.595613874486207,0.006
1998,5,13,3,-0.0105190229789705,NaN,0,68.315,0.488914294851985,0.007
1998,5,13,4,0.00211272208012965,NaN,0,67.06,0.471906550964784,0.007
1998,5,13,5,-0.00298594723035775,NaN,0,68.865,0.423819524596908,0.186
1998,5,13,6,0.0405995270417734,0.250205443372955,0,64.545,0.493050008691363,0.005
1998,5,13,7,0.143757126532321,1.18081178123776,0,53.87,0.627734268636112,0.005
1998,5,13,8,0.376211680100463,2.15364905888824,0,35.955,0.969542232315135,0.004
1998,5,13,9,0.36509611071189,NaN,0,27.84,1.27751026307127,0.004
1998,5,13,10,-0.0725330642286664,NaN,0,24.78,1.52193261811618,0.004
1998,5,13,11,NaN,NaN,0,21.205,1.77868114581764,0.004
1998,5,13,12,NaN,NaN,0,22.755,1.91844063623542,0.004
1998,5,13,13,NaN,NaN,0,21.485,2.10748326754548,0.004
1998,5,13,14,NaN,NaN,0,23.195,2.12791402900578,0.004
1998,5,13,15,NaN,NaN,0,23.675,2.14296455507431,0.004
1998,5,13,16,NaN,NaN,0,25.895,2.02203587545151,0.004
1998,5,13,17,NaN,NaN,0,28.15,1.82082712665407,0.004
1998,5,13,18,NaN,NaN,0,26.885,1.64231312582817,0.004
1998,5,13,19,NaN,NaN,0,29.01,1.37068900983414,0.004
1998,5,13,20,0.00143163492441493,NaN,0,33.775,1.12954681880245,0.004
1998,5,13,21,0.0218704023599038,NaN,0,38.85,0.948033754965375,0.0045
1998,5,13,22,0.0154647243171493,NaN,0,40.545,0.907360327889973,0.005
1998,5,13,23,0.0021015612638369,NaN,0,47.425,0.710289974508058,0.005
1998,5,14,0,0.00358136809086574,NaN,0,51.45,0.622557253415153,0.005
1998,5,14,1,-0.000270612783350656,NaN,0,49.16,0.671362251716233,0.005
1998,5,14,2,0.00461573664669793,NaN,0,53.345,0.549780529753706,0.005
1998,5,14,3,-0.00475835607825205,NaN,0,59.045,0.429765451637857,0.005
1998,5,14,4,-0.00499950619781956,NaN,0,58.905,0.415619236033513,0.005
1998,5,14,5,0.075555059664169,NaN,0,49.935,0.621291240483561,0.005
1998,5,14,6,0.163632688383285,0.121752339234169,0,47.575,0.761410801720813,0.0045
1998,5,14,7,NaN,NaN,0,40.615,1.03842156218501,0.004
1998,5,14,8,NaN,NaN,0,36.02,1.30153937552672,0.004
1998,5,14,9,NaN,NaN,0,31.905,1.59147756893386,0.004
1998,5,14,10,NaN,NaN,0,30.55,1.80343791060685,0.004
1998,5,14,11,NaN,NaN,0,29.535,1.96411823447198,0.004
1998,5,14,12,NaN,NaN,0,31.665,2.01835000083495,0.004
1998,5,14,13,NaN,NaN,0,34.375,1.9878999530617,0.004
1998,5,14,14,NaN,NaN,0,36.54,2.00402909669126,0.004
1998,5,14,15,NaN,NaN,0,38.24,1.98457150744153,0.004
1998,5,14,16,NaN,NaN,0,43.57,1.71020225823741,0.004
1998,5,14,17,NaN,NaN,0,43.945,1.70038527674134,0.004
1998,5,14,18,NaN,NaN,0,44.33,1.53526794572153,0.004
1998,5,14,19,NaN,NaN,0,52.815,1.12181934236989,0.004
1998,5,14,20,NaN,NaN,0,61.315,0.79733579714805,0.0045
1998,5,14,21,NaN,NaN,0,67.045,0.609289572302331,0.005
